slurm_job_id,node,start,end,paths_file,output_folder,dataset_total_size,processed_total_size,number_of_workers_per_node,time,bw,total_tokens_processed,throughput (Million Tokens/Second/Node)
1580698,nid006764,Fri Feb 27 12:05:37 CET 2026,Fri Feb 27 12:47:26 CET 2026,/capstor/scratch/cscs/dtamayomela/megatron/pre-training/Megatron-LM/datasets/Biomed-Enriched_preprocessed/dumps/paths_file_0.txt,/capstor/scratch/cscs/dtamayomela/data/tokenized_data/Apertus-70B-2509/Biomed-Enriched_preprocessed/dump-0,13894664283,36433636500,2,2509,5537929.1681945,9101667465,3627607.5986448782
1580699,nid007100,Fri Feb 27 12:05:37 CET 2026,Fri Feb 27 12:50:33 CET 2026,/capstor/scratch/cscs/dtamayomela/megatron/pre-training/Megatron-LM/datasets/Biomed-Enriched_preprocessed/dumps/paths_file_1.txt,/capstor/scratch/cscs/dtamayomela/data/tokenized_data/Apertus-70B-2509/Biomed-Enriched_preprocessed/dump-1,13900733297,36358239136,2,2696,5156058.344584569,9082663639,3368940.518916914
