slurm_job_id,node,start,end,paths_file,output_folder,dataset_total_size,processed_total_size,number_of_workers_per_node,time,bw,total_tokens_processed,throughput (Million Tokens/Second/Node)
1580075,nid006119,Fri Feb 27 09:54:45 CET 2026,Fri Feb 27 11:07:17 CET 2026,/capstor/scratch/cscs/dtamayomela/megatron/pre-training/Megatron-LM/datasets/dolma3_olmocr_science_pdfs-preprocessed/dumps/paths_file_0.txt,/capstor/scratch/cscs/dtamayomela/data/tokenized_data/Apertus-70B-2509/dolma3_olmocr_science_pdfs-preprocessed/dump-0,23254234208,51055215316,2,4352,5343344.257352941,12761617784,2932357.0275735296
1580076,nid006217,Fri Feb 27 09:56:34 CET 2026,Fri Feb 27 11:09:31 CET 2026,/capstor/scratch/cscs/dtamayomela/megatron/pre-training/Megatron-LM/datasets/dolma3_olmocr_science_pdfs-preprocessed/dumps/paths_file_1.txt,/capstor/scratch/cscs/dtamayomela/data/tokenized_data/Apertus-70B-2509/dolma3_olmocr_science_pdfs-preprocessed/dump-1,24284418797,52719453508,2,4377,5548187.981951108,13176941332,3010496.0776787754
